business_name,dba_name,building,street,city,state,zip,swc_type,swc_sq_ft,swc_tables,swc_chairs,latitude,longitude,community_district,city_council_district
EAST PUB INC,PHEBE'S,359,BOWERY,MANHATTAN ,NY,10003,Enclosed,808,24,96,40.726828835423774,-73.99144926767471,103,2
AMGP RESTAURANT CORP.,YIASOU,2003,EMMONS AVE,BROOKLYN,NY,11235,Unenclosed,253,23,46,40.58405592626184,-73.94813924791059,315,48
2896 BROADWAY FOOD SERVICE INC.,COMMUNITY FOOD & JUICE,2893,BROADWAY,MANHATTAN ,NY,10025,Unenclosed,500,23,60,40.806056466319404,-73.96563715556694,109,7
EASTSIDE BARKING DOG INC,BARKING DOG NYC,1678,3RD AVE,MANHATTAN ,NY,10128,Unenclosed,390,23,46,40.784123262335726,-73.95037390735104,108,5
GW ASTORIA LLC,GYRO WORLD,3602,30TH AVE,ASTORIA,NY,11103,Unenclosed,559,23,46,40.76475389997307,-73.91734999120705,401,22
SARABETH'S PAS LLC,SARABETH'S,381,PARK AVE S,MANHATTAN ,NY,10016,Unenclosed,547,23,46,40.74235517108238,-73.98442465772064,105,2
"LAFAYETTE STREET PARTNERS II, LLC",LAFAYETTE,380,LAFAYETTE ST,MANHATTAN ,NY,10003,Unenclosed,962,23,84,40.7276029981432,-73.99363197558255,102,1
"513 COLUMBUS, LLC",OSTERIA COTTA,513,COLUMBUS AVE,MANHATTAN ,NY,10024,Unenclosed,370,23,44,40.785497583411654,-73.97266771196168,107,6
EASTSIDE BARKING DOG INC,BARKING DOG NYC,1678,3RD AVE,MANHATTAN ,NY,10128,Unenclosed,390,23,46,40.784123262335726,-73.95037390735104,108,5
PHILLIPOS RESTAURANT INC,BARKING DOG,1678,3RD AVE,MANHATTAN ,NY,10128,Unenclosed,390,23,46,40.784123262335726,-73.95037390735104,108,5
VIDA ENTERPRISE INC.,PAT'E PALO,251,DYCKMAN ST,MANHATTAN ,NY,10034,Unenclosed,435,23,46,40.86661222993757,-73.92814578849243,112,10
EIGHTY THIRD AND FIRST LLC,FELICE,1593,1ST AVE,MANHATTAN ,NY,10028,Unenclosed,632,22,44,40.774879287356356,-73.95106679267904,108,5
LE GARAGE CORP,WANDERLUST,1004,2ND AVE,MANHATTAN ,NY,10022,Unenclosed,,22,44,40.75678336251809,-73.96693312795297,106,4
ERS ENTERPRISES INC.,P. J. CLARKE’S ,44,W 63RD ST,MANHATTAN ,NY,10023,Enclosed,880,22,46,40.771350387999604,-73.98254773267509,107,3
THIRD AVE FOOD CORP,TIVOLI CAFE,283,3RD AVE,MANHATTAN ,NY,10010,Unenclosed,,22,44,40.73817202830903,-73.98341164196111,106,2
